epoch,iso,raw_dht11
1753724269.175416,2025-07-28T18:37:49.175423,"0.0,0.0"
1753724269.2844229,2025-07-28T18:37:49.284430,"0.0,0.0"
1753724269.3894334,2025-07-28T18:37:49.389444,"0.0,0.0"
1753724272.0635102,2025-07-28T18:37:52.063517,"0.0,0.0"
1753724272.0641358,2025-07-28T18:37:52.064140,"0.0,0.0"
1753724272.0645292,2025-07-28T18:37:52.064531,"0.0,0.0"
1753724272.0648465,2025-07-28T18:37:52.064848,"0.0,0.0"
1753724272.065171,2025-07-28T18:37:52.065174,"0.0,0.0"
1753724272.065502,2025-07-28T18:37:52.065504,"0.0,0.0"
1753724272.065812,2025-07-28T18:37:52.065814,"0.0,0.0"
1753724272.0661268,2025-07-28T18:37:52.066129,"0.0,0.0"
1753724272.066516,2025-07-28T18:37:52.066518,"0.0,0.0"
1753724272.0668628,2025-07-28T18:37:52.066865,"0.0,0.0"
1753724272.067188,2025-07-28T18:37:52.067190,"0.0,0.0"
1753724272.0675046,2025-07-28T18:37:52.067506,"0.0,0.0"
1753724272.0678127,2025-07-28T18:37:52.067814,"0.0,0.0"
1753724272.0681272,2025-07-28T18:37:52.068129,"0.0,0.0"
1753724272.0684867,2025-07-28T18:37:52.068489,"0.0,0.0"
1753724272.068801,2025-07-28T18:37:52.068803,"0.0,0.0"
1753724272.0691602,2025-07-28T18:37:52.069163,"0.0,0.0"
1753724272.0695431,2025-07-28T18:37:52.069545,"0.0,0.0"
1753724272.069898,2025-07-28T18:37:52.069900,"0.0,0.0"
1753724272.0702283,2025-07-28T18:37:52.070230,"0.0,0.0"
1753724272.0706043,2025-07-28T18:37:52.070606,"0.0,0.0"
1753724272.0709388,2025-07-28T18:37:52.070941,"0.0,0.0"
1753724272.0713046,2025-07-28T18:37:52.071307,"0.0,0.0"
1753724272.0716283,2025-07-28T18:37:52.071630,"0.0,0.0"
1753724272.0719376,2025-07-28T18:37:52.071939,"0.0,0.0"
1753724272.0722566,2025-07-28T18:37:52.072258,"0.0,0.0"
1753724272.1059284,2025-07-28T18:37:52.105936,"0.0,0.0"
1753724272.2063413,2025-07-28T18:37:52.206348,"0.0,0.0"
1753724272.306779,2025-07-28T18:37:52.306786,"0.0,0.0"
1753724272.4069395,2025-07-28T18:37:52.406947,"0.0,0.0"
1753724272.507202,2025-07-28T18:37:52.507209,"0.0,0.0"
1753724272.6074147,2025-07-28T18:37:52.607422,"0.0,0.0"
1753724272.7075648,2025-07-28T18:37:52.707571,"0.0,0.0"
1753724272.8077748,2025-07-28T18:37:52.807782,"0.0,0.0"
1753724272.9080842,2025-07-28T18:37:52.908092,"0.0,0.0"
1753724273.0082803,2025-07-28T18:37:53.008288,"0.0,0.0"
1753724273.1084821,2025-07-28T18:37:53.108489,"0.0,0.0"
1753724273.2087831,2025-07-28T18:37:53.208790,"0.0,0.0"
1753724273.3089738,2025-07-28T18:37:53.308981,"0.0,0.0"
1753724273.4090438,2025-07-28T18:37:53.409052,"0.0,0.0"
1753724273.5092573,2025-07-28T18:37:53.509264,"0.0,0.0"
1753724273.6095557,2025-07-28T18:37:53.609563,"0.0,0.0"
1753724273.709717,2025-07-28T18:37:53.709724,"0.0,0.0"
1753724273.8099167,2025-07-28T18:37:53.809924,"0.0,0.0"
1753724273.910145,2025-07-28T18:37:53.910153,"0.0,0.0"
1753724274.0153863,2025-07-28T18:37:54.015395,"0.0,0.0"
1753724274.1209164,2025-07-28T18:37:54.120923,"0.0,0.0"
1753724274.221216,2025-07-28T18:37:54.221223,"0.0,0.0"
1753724274.3213215,2025-07-28T18:37:54.321329,"0.0,0.0"
1753724274.4215345,2025-07-28T18:37:54.421542,"0.0,0.0"
1753724274.5217843,2025-07-28T18:37:54.521792,"0.0,0.0"
1753724274.621991,2025-07-28T18:37:54.621998,"0.0,0.0"
1753724274.7222304,2025-07-28T18:37:54.722238,"0.0,0.0"
1753724274.8225453,2025-07-28T18:37:54.822552,"0.0,0.0"
1753724274.923083,2025-07-28T18:37:54.923091,"0.0,0.0"
1753724275.0230596,2025-07-28T18:37:55.023067,"0.0,0.0"
1753724275.1233325,2025-07-28T18:37:55.123340,"0.0,0.0"
1753724275.2235472,2025-07-28T18:37:55.223554,"0.0,0.0"
1753724275.3237786,2025-07-28T18:37:55.323787,"0.0,0.0"
1753724275.4244428,2025-07-28T18:37:55.424454,"0.0,0.0"
1753724275.5242882,2025-07-28T18:37:55.524297,"0.0,0.0"
1753724275.6248844,2025-07-28T18:37:55.624894,"0.0,0.0"
1753724275.7255895,2025-07-28T18:37:55.725599,"0.0,0.0"
1753724275.8258274,2025-07-28T18:37:55.825835,"0.0,0.0"
1753724275.9265788,2025-07-28T18:37:55.926588,"0.0,0.0"
1753724276.026789,2025-07-28T18:37:56.026798,"0.0,0.0"
1753724276.1271403,2025-07-28T18:37:56.127149,"0.0,0.0"
1753724276.227205,2025-07-28T18:37:56.227214,"0.0,0.0"
1753724276.3385854,2025-07-28T18:37:56.338594,"0.0,0.0"
1753724276.4387724,2025-07-28T18:37:56.438781,"0.0,0.0"
1753724276.5495324,2025-07-28T18:37:56.549539,"0.0,0.0"
1753724276.6447194,2025-07-28T18:37:56.644726,"0.0,0.0"
1753724276.7452004,2025-07-28T18:37:56.745207,"0.0,0.0"
1753724276.8452418,2025-07-28T18:37:56.845249,"0.0,0.0"
1753724276.945568,2025-07-28T18:37:56.945575,"0.0,0.0"
